"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.823031513E0,9.857600212E0,-3.078059959E1,-3.193959999E1,4.543958231E1
2.833031268E0,9.454999924E0,-3.051219940E1,-3.209819794E1,4.528449676E1
2.843031513E0,9.650199890E0,-3.025599861E1,-3.157359886E1,4.478218345E1
2.853031268E0,7.454199791E0,-3.141499901E1,-3.186639977E1,4.536446507E1
2.863018573E0,1.038220024E1,-3.039019966E1,-3.028039932E1,4.413906320E1
2.873032001E0,1.033339977E1,-3.021939850E1,-3.108559990E1,4.456798983E1
2.883032001E0,1.010159969E1,-3.051219940E1,-3.020719910E1,4.410795287E1
2.893031757E0,9.979599953E0,-3.062199974E1,-3.043899918E1,4.431514362E1
2.903032001E0,9.479399681E0,-3.064639854E1,-3.045119858E1,4.423049013E1
2.913032001E0,9.637999535E0,-3.057320023E1,-3.107339859E1,4.464490684E1
2.923032001E0,8.052000046E0,-3.120759964E1,-3.262279892E1,4.585843422E1
2.933028583E0,9.625800133E0,-3.032919884E1,-3.167119980E1,4.489522499E1
2.943021747E0,9.320799828E0,-3.058539963E1,-3.103679848E1,4.456037297E1
2.953031757E0,9.442799568E0,-3.071959877E1,-3.065859985E1,4.441632535E1
2.963031757E0,9.003600121E0,-3.095139885E1,-3.146379852E1,4.504469473E1
2.973032001E0,8.747400284E0,-3.107339859E1,-3.075619888E1,4.458718293E1
2.983031757E0,9.210999489E0,-3.119540024E1,-3.050000000E1,4.458974666E1
2.993032245E0,6.136600018E0,-3.173219872E1,-4.121159744E1,5.237352441E1
3.003032001E0,6.905200005E0,-3.191519928E1,-3.502619934E1,4.788628585E1
3.013032245E0,8.479000092E0,-3.062199974E1,-3.157359886E1,4.479388860E1
3.023032001E0,5.929199696E0,-3.189079857E1,-4.111399841E1,5.236925919E1
3.033022723E0,8.588799477E0,-3.114659882E1,-3.023159981E1,4.424734705E1
3.043032245E0,9.576999664E0,-3.085379982E1,-3.026819992E1,4.427007807E1
3.053031513E0,9.955200195E0,-3.063419914E1,-3.097579956E1,4.468848091E1
3.063031513E0,8.186200142E0,-3.091479874E1,-3.201279831E1,4.524994927E1
3.073032245E0,9.467200279E0,-3.082939911E1,-3.106119919E1,4.477586209E1
3.083019061E0,1.128499985E1,-3.032919884E1,-3.050000000E1,4.446865777E1
3.093032001E0,1.146799946E1,-2.999979973E1,-3.085379982E1,4.453605235E1
3.103031757E0,1.165100002E1,-3.017059898E1,-3.097579956E1,4.478293205E1
3.113019061E0,1.159000015E1,-2.988999939E1,-3.084159851E1,4.448532753E1
3.123032001E0,1.150459957E1,-3.017059898E1,-3.036579895E1,4.432496588E1
3.133031757E0,1.184619999E1,-2.959719849E1,-3.117099953E1,4.458652065E1
3.143031757E0,1.060179996E1,-3.003639984E1,-3.203720093E1,4.517704861E1
3.153019305E0,1.161439991E1,-2.974359894E1,-3.140279961E1,4.478517373E1
3.163032001E0,1.179739952E1,-3.030480003E1,-3.004859924E1,4.427728376E1
3.173032001E0,1.210239983E1,-3.004859924E1,-3.079279900E1,4.469432702E1
3.183032245E0,1.190719986E1,-2.987779999E1,-3.097579956E1,4.465382961E1
3.193032245E0,1.232199955E1,-2.996319962E1,-3.020719910E1,4.429559664E1
3.203032001E0,1.145580006E1,-2.981679916E1,-3.089039993E1,4.443527512E1
3.213032001E0,1.169979954E1,-3.009739876E1,-3.045119858E1,4.438484219E1
3.223020282E0,1.046759987E1,-3.047559929E1,-3.164679909E1,4.516472840E1
3.233018817E0,1.112639999E1,-3.008519936E1,-3.069519997E1,4.439719921E1
3.243032001E0,1.144359970E1,-3.039019966E1,-3.023159981E1,4.436744118E1
